,Fighter_name,Average_significant_strikes,Average_takedowns,Average_submission_attempts,Average_knockdowns,Average_activity,Wins,Loss,Winrate,Weight_class
461,Antonio McKee,25.0,1.0,0.0,0.0,26.0,0.0,1.0,0.0,['Lightweight']
462,Ericka Almeida,16.0,0.5,0.0,0.0,16.5,0.0,2.0,0.0,"[""Women's Strawweight""]"
463,Wanderlei Silva,24.33,0.11,0.11,0.89,25.439999999999998,5.0,4.0,0.56,['Middleweight' 'Light Heavyweight']
464,Chan Sung Jung,24.83,0.17,0.17,0.67,25.840000000000003,5.0,1.0,0.83,['Featherweight']
465,Jordan Williams,21.67,0.33,0.0,0.0,22.0,0.0,3.0,0.0,['Welterweight' 'Middleweight']
466,Zach Reese,4.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,['Middleweight']
467,Bobby Voelker,47.75,1.0,0.0,0.0,48.75,0.0,4.0,0.0,['Welterweight']
468,Gavin Tucker,44.14,2.14,1.0,0.0,47.28,4.0,3.0,0.57,['Featherweight']
469,Dustin Kimura,12.8,0.6,1.4,0.0,14.8,2.0,3.0,0.4,['Bantamweight']
470,Ryo Chonan,38.0,0.5,0.0,0.0,38.5,1.0,3.0,0.25,['Welterweight']
471,Mounir Lazzez,62.5,1.0,0.0,0.0,63.5,2.0,2.0,0.5,['Welterweight']
472,Masanori Kanehara,23.67,1.33,1.0,0.0,26.0,1.0,2.0,0.33,['Bantamweight']
473,Bob Gilstrap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,['Middleweight']
474,Claudio Ribeiro,29.33,0.33,0.0,0.33,29.989999999999995,1.0,2.0,0.33,['Middleweight']
475,Pingyuan Liu,34.75,0.25,1.0,0.25,36.25,2.0,2.0,0.5,['Bantamweight']
476,Dustin Pague,16.0,0.67,1.67,0.0,18.340000000000003,1.0,5.0,0.17,['Bantamweight']
477,Ron Faircloth,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,['Light Heavyweight']
478,Kaue Fernandes,23.0,1.0,0.0,0.0,24.0,0.0,1.0,0.0,['Lightweight']
479,Magomed Ankalaev,34.2,0.7,0.0,0.6,35.50000000000001,9.0,1.0,0.9,['Light Heavyweight']
480,Lewis Gonzalez,21.0,2.0,0.0,0.0,23.0,0.0,1.0,0.0,['Welterweight']
481,Kristof Midoux,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,['Heavyweight']
482,Bob Cook,22.0,1.0,2.0,0.0,25.0,1.0,0.0,1.0,['Lightweight']
483,Jorge Lopez,37.0,3.5,0.0,0.0,40.5,0.0,2.0,0.0,['Welterweight']
484,Chris Camozzi,42.11,0.21,0.37,0.05,42.739999999999995,9.0,10.0,0.47,['Middleweight']
485,Amar Suloev,17.5,0.5,0.5,0.0,18.5,0.0,2.0,0.0,['Middleweight' 'Light Heavyweight']
486,Cung Le,31.67,0.67,0.0,0.33,32.67,2.0,1.0,0.67,['Middleweight']
487,Amanda Ribas,55.6,1.5,0.6,0.1,57.800000000000004,7.0,3.0,0.7,"[""Women's Flyweight"" ""Women's Strawweight""]"
488,Marlon Moraes,26.36,0.45,0.18,0.45,27.439999999999998,5.0,6.0,0.45,['Bantamweight']
